2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:10:14,479 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,531 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,581 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,631 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,681 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,731 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,781 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,831 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,881 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,932 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:14,982 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,032 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,081 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,131 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,181 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,231 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,281 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,331 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,381 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,431 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,482 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,531 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,582 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,631 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,681 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,731 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,781 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,830 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,881 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,931 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:15,981 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,031 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,081 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,132 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,181 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,231 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,280 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,331 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,381 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,431 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,481 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,532 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,581 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,632 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,682 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,732 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,781 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,831 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,881 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,931 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:16,982 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,032 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,081 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,134 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,184 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,232 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,281 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,331 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,381 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
2025-02-10 17:10:17,432 - INFO - Current min lip height: 0.0, max lip height: 38.40412408778428
